FullAddress,SID,PID,EXID,Service,Longitude,Latitude,Company,_overlaps
1155 OIL CITY RD OSAGE WY 82723,903114,,17,Outside of SAI,-104.4878418,43.97419372,Worland,
1718 BUFFALO CREEK RD MOORCROFT WY 82721,947047,,22,Outside of SAI,-104.8521676,44.17746798,Worland,
1689 LUPIN RD UPTON WY 82730,946754,,22,Outside of SAI,-104.5217324,44.03850534,Worland,
1453 LUPIN RD UPTON WY 82730,946216,,22,Outside of SAI,-104.5199944,44.03704488,Worland,
1325 LUPIN RD UPTON WY 82730,942478,,22,Outside of SAI,-104.520691,44.03754291,Worland,
1307 LUPIN RD UPTON WY 82730,946584,,22,Outside of SAI,-104.5216596,44.04116324,Worland,
457 LUPIN RD UPTON WY 82730,946264,,22,Outside of SAI,-104.5392858,44.04521727,Worland,
8 STELLA LN MOORCROFT WY 82721,946031,,22,Outside of SAI,-104.7008337,44.26136604,Worland,
188  KARA CIR SUNDANCE WY 82729,945972,,22,Outside of SAI,-104.5461073,44.26775816,Worland,
919 PENNYCRESS LN UPTON WY 82730,945875,,22,Outside of SAI,-104.5291658,44.04106295,Worland,
920 PENNYCRESS LN UPTON WY 82730,945349,,22,Outside of SAI,-104.5294612,44.0414836,Worland,
215 KARA CIR SUNDANCE WY 82729,18609,,22,Outside of SAI,-104.5502901,44.26633846,Worland,
1329 WAGNER RD MOORCROFT WY 82721,945654,,22,Outside of SAI,-104.6764211,44.18648599,Worland,
1330 WAGNER RD MOORCROFT WY 82721,945653,,22,Outside of SAI,-104.6781124,44.1850558,Worland,
1332 WAGNER RD MOORCROFT WY 82721,945652,,22,Outside of SAI,-104.6799888,44.18438067,Worland,
1334 WAGNER RD MOORCROFT WY 82721,945651,,22,Outside of SAI,-104.6743101,44.18325248,Worland,
1336 WAGNER RD MOORCROFT WY 82721,945650,,22,Outside of SAI,-104.6712238,44.18319918,Worland,
1338 WAGNER RD MOORCROFT WY 82721,945649,,22,Outside of SAI,-104.6699029,44.18311922,Worland,
707 ARCH CREEK RD UPTON WY 82730,945634,,22,Outside of SAI,-104.5793099,44.25678745,Worland,
670 ARCH CREEK RD UPTON WY 82730,945633,,22,Outside of SAI,-104.5771972,44.25210613,Worland,
48 HOLLY AVE MOORCROFT WY 82721,944545,,22,Outside of SAI,-104.7038,44.26312002,Worland,
76 HOLLY AVE MOORCROFT WY 82721,944288,,22,Outside of SAI,-104.693709,44.25947616,Worland,
74 HOLLY AVE MOORCROFT WY 82721,944287,,22,Outside of SAI,-104.6964495,44.25925847,Worland,
109 MESQUITE TRL UPTON WY 82730,944153,,22,Outside of SAI,-104.6565639,44.17095654,Worland,
1284 UPTON FAIRVIEW RD UPTON WY 82730,19373,,22,Outside of SAI,-104.605213,43.87490554,Worland,
60 OLIVER RD UPTON WY 82730,19412,,22,Outside of SAI,-104.5423165,44.0301576,Worland,
638 WAGNER RD MOORCROFT WY 82730,19411,,22,Outside of SAI,-104.725167,44.19712224,Worland,
24 CEDAR PL MOORCROFT WY 82721,18612,,22,Outside of SAI,-104.5454895,44.2597483,Worland,
176 KARA CIR SUNDANCE WY 82729,18611,,22,Outside of SAI,-104.5440317,44.26610733,Worland,
196 KARA CIR SUNDANCE WY 82729,18610,,22,Outside of SAI,-104.548483,44.26953783,Worland,
320 KARA CIR SUNDANCE WY 82729,18608,,22,Outside of SAI,-104.564839,44.25806558,Worland,
365 KARA CIR SUNDANCE WY 82729,18607,,22,Outside of SAI,-104.5496318,44.25708382,Worland,
1423 COWBOY MINE RD THERMOPOLIS WY 82443,945495,,21,Outside of SAI,-108.1568413,43.79021513,Worland,
351 OWL CREEK QUARRY RD THERMOPOLIS WY 82443,63640,,21,Outside of SAI,-108.2486007,43.62462763,Worland,
231 OWL CREEK QUARRY RD THERMOPOLIS WY 82443,63641,,21,Outside of SAI,-108.2347286,43.62513228,Worland,
221 OWL CREEK QUARRY RD THERMOPOLIS WY 82443,946178,,21,Outside of SAI,-108.2335129,43.62817585,Worland,
1173 HWY 20 S THERMOPOLIS WY 82443,946137,,21,Outside of SAI,-108.1680634,43.50754064,Worland,
365 HIGHWAY 20 S THERMOPOLIS WY 82443,10309,,21,Outside of SAI,-108.2116943,43.60029069,Worland,
208 CARTER RANCH RD THERMOPOLIS WY 82433,10259,,21,Outside of SAI,-108.2051058,43.62895439,Worland,
Null,41328,,,Outside of SAI,-110.8404469,40.72567847,,
Null,41327,,,Outside of SAI,-110.8404492,40.72575291,,
Null,41326,,,Outside of SAI,-110.8404538,40.72589975,,
Null,41325,,,Outside of SAI,-110.8404515,40.7258253,,
Null,41324,,,Outside of SAI,-110.8404633,40.72620373,,
Null,41323,,,Outside of SAI,-110.8404607,40.72612132,,
Null,41322,,,Outside of SAI,-110.8404584,40.72604764,,
Null,41321,,,Outside of SAI,-110.8404562,40.72597457,,
1132 RIFLE PIT RD SUNDANCE WY 82729,947240,,78,Outside of SAI,-104.2319554,44.44469088,Forsyth,
1130 RIFLE PIT RD SUNDANCE WY 82729,947239,,78,Outside of SAI,-104.2306061,44.44510148,Forsyth,
453 RIFLE PIT RD BEULAH WY 82712,947235,,78,Outside of SAI,-104.1266045,44.49858887,Forsyth,
5478 A OLD HIGHWAY 14 BEULAH WY 82712,947225,,78,Outside of SAI,-104.1730461,44.51835357,Forsyth,
5478 OLD HIGHWAY 14 BEULAH WY 82712,947224,,78,Outside of SAI,-104.1744139,44.52134895,Forsyth,
3935 STATE HIGHWAY 24 ALADDIN WY 82710,947222,,78,Outside of SAI,-104.1944481,44.64221147,Forsyth,
111 LOOP RD DEVILS TOWER WY 82714,946915,,78,Outside of SAI,-104.5738491,44.51342509,Forsyth,
167 HOMESTEAD LP HULETT WY 82720,945809,,12,Outside of SAI,-104.7749627,44.71305421,Worland,
999 BEARLODGE RANCH RD DEVILS TOWER WY 82714,945807,,78,Outside of SAI,-104.5584907,44.50434791,Forsyth,
18 GOLD RUSH TRL SUNDANCE WY 82729,945529,,22,Outside of SAI,-104.5845143,44.32652083,Worland,
115 QUEENS RD SUNDANCE WY 82729,50634,,78,Outside of SAI,-104.2814143,44.53265252,Forsyth,
1003 CHERRY CREEK RD FORSYTH MT 59327,61123,,34,Outside of SAI,-106.3107261,46.00094096,Forsyth,
2415 MAIN ST MILES CITY MT 59301,946255,,,Outside of SAI,-105.8295305,46.40869052,,
478 MAIN ST THAYNE WY 83127,945817,,,Outside of SAI,-110.9553426,42.97185349,,
160 HWY 130 LARAMIE WY 82070,903645,,,Outside of SAI,-105.8921599,41.29594218,,
81 HWY 339 SHERIDAN WY 82801,947095,,,Outside of SAI,-107.0079178,44.88510342,,
612 MOUNT RUSHMORE RD RAPID CITY SD 57701,946743,,,Outside of SAI,-103.2307318,44.07979531,,
1831 US HWY 20 MANDERSON WY 82432,903169,,,Outside of SAI,-107.9819002,44.26792006,,
222 N 32ND ST BILLINGS MT 59101,61544,,,Outside of SAI,-108.5125382,45.78109723,,
3011 2ND AVE N BILLINGS MT 59101,64092,,,Outside of SAI,-108.5099387,45.78165472,,
782 SOLDIER CREEK RD UNIT C SHERIDAN WY 82801,945768,,,Outside of SAI,-107.1661033,44.78823494,,
631 BECKTON RD DAYTON WY 82801,926361,,,Outside of SAI,-107.2035146,44.80006054,,
25 EATON RANCH RD WOLF WY 82844,60947,,,Outside of SAI,-107.2129956,44.80037313,,
35 EATON RANCH RD WOLF WY 82844,60949,,,Outside of SAI,-107.2104395,44.79450694,,
270 EATON RANCH RD WOLF WY 82844,60948,,,Outside of SAI,-107.2379113,44.77106147,,
28 FOREST SERVICE 244 RD SHELL WY 82441,917732,,,Outside of SAI,-107.5145228,44.61155386,,
251 FOREST SERVICE RD 17 SHELL WY 82441,942779,,,Outside of SAI,-107.5027118,44.54748586,,
2300 SUNSET DR ROCK SPRINGS WY 82901,915124,,,Outside of SAI,-109.2740048,41.56969738,,
215 D ST ROCK SPRINGS WY 82901,63668,,,Outside of SAI,-109.2190149,41.58602868,,
1209 I-80 SERVICE RD ROCK SPRINGS WY 82901,923153,,,Outside of SAI,-108.9210756,41.67535898,,
522 W BUFFALO RAWLINS WY 82301,63422,,,Outside of SAI,-107.2413969,41.78819363,,
303 W SPRUCE ST RAWLINS WY 82301,934074,,,Outside of SAI,-107.2393426,41.79123028,,
221 THIRD ST RAWLINS WY 82301,924442,,,Outside of SAI,-107.2376236,41.78899845,,
1724 E CEDAR RAWLINS WY 82301,936030,,,Outside of SAI,-107.2208639,41.78999397,,
1208 W SPRUCE RAWLINS WY 82301,63679,,,Outside of SAI,-107.2500011,41.78826941,,
1100 WAGON CIRCLE DR RAWLINS WY 82301,932079,,,Outside of SAI,-107.3175772,41.81265033,,
3850 TOWER RD RAPID CITY SD 57701,945339,,,Outside of SAI,-103.2441944,44.04765196,,
184 INTERSTATE 80 WAMSUTTER WY 82301,930873,,,Outside of SAI,-107.8259325,41.74504188,,
4550 U S HIGHWAY 26-85 TORRINGTON WY 82240,923155,,,Outside of SAI,-104.2177409,42.0777807,,
2211 ELK RIVER RD STEAMBOAT SPRINGS CO 80487,935012,,,Outside of SAI,-106.8573078,40.50454311,,
409 S 32ND ST SPEARFISH SD 57783,944133,,,Outside of SAI,-103.8071148,44.47418874,,
5401 S SOLBERG AVE SIOUX FALLS SD 57108,914531,,,Outside of SAI,-96.7857654,43.49662333,,
303 E ILLINOIS SIDNEY NE 69162,63206,,,Outside of SAI,-102.9681422,41.14477206,,
1433 ILLINOIS SIDNEY NE 69162,63205,,,Outside of SAI,-102.9822488,41.14439349,,
782 SOLDIER CREEK RD UNIT B SHERIDAN WY 82801,939568,,,Outside of SAI,-107.1660268,44.78795997,,
782 SOLDIER CREEK RD SHERIDAN WY 82801,60341,,,Outside of SAI,-107.1659121,44.78778031,,
600 HWY 14 E SHERIDAN WY 82801,916964,,41,Outside of SAI,-106.8687802,44.71526878,Sheridan,
32 WILD HOLLOW RD SHERIDAN WY 82801,60992,,41,Outside of SAI,-106.9679714,44.84728967,Sheridan,
56 HALFWAY LN RANCHESTER WY 82839,929392,,,Outside of SAI,-107.211522,44.89019772,,
427 MOBILE CIR RANCHESTER WY 82839,60301,,,Outside of SAI,-107.1659289,44.90605721,,
38 MONARCH ROAD RANCHESTER WY 82839,932130,,,Outside of SAI,-107.0372833,44.9014694,,
320 EARLY CREEK RD RANCHESTER WY 82839,930286,,,Outside of SAI,-107.1558647,44.94517844,,
31 RIVER ROAD RANCHESTER WY 82839,905597,,,Outside of SAI,-107.1595616,44.90188719,,
308 EARLY CREEK RD RANCHESTER WY 82839,908061,,,Outside of SAI,-107.1521602,44.94159027,,
34 US HIGHWAY 30 HANNA WY 82327,931756,,,Outside of SAI,-106.8429715,41.73825429,,
1336 HWY 345 RANCHESTER WY 82839,914117,,,Outside of SAI,-107.1374951,44.91024648,,
1181 HWY 345 RANCHESTER WY 82839,918209,,,Outside of SAI,-107.1748515,44.91577056,,
114 KLEENBURN RD RANCHESTER WY 82839,936532,,,Outside of SAI,-107.0124771,44.90108919,,
1066 BIG HORN DR RANCHESTER WY 82839,928991,,,Outside of SAI,-107.1734234,44.90484704,,
7 REPAC LN RANCHESTER WY 82839,915875,,,Outside of SAI,-107.1995722,44.92179028,,
100 NEWPORT AVE QUINCY MA 02171,921016,,,Outside of SAI,-71.02579106,42.27231001,,
151 E 1ST ST POWELL WY 82435,931301,,,Outside of SAI,-108.7579065,44.75262466,,
240 E PINE ST PINEDALE WY 82941,945031,,,Outside of SAI,-109.857476,42.86626359,,
144 EHMAN LN PINEDALE WY 82941,922500,,,Outside of SAI,-109.8913319,42.88798545,,
1010 WILSON ST PINEDALE WY 82941,934390,,,Outside of SAI,-109.8753548,42.86520927,,
10283 STATE HWY 233 KEMMERER WY,905755,,,Outside of SAI,-110.6280227,41.91426592,,
625 E BROADWAY JACKSON WY 83002,904647,,,Outside of SAI,-110.749569,43.48046053,,
420 N CACHE ST JACKSON WY 83002,913970,,,Outside of SAI,-110.7619183,43.48531546,,
405 POWDERHORN LANE JACKSON WY 83002,931582,,,Outside of SAI,-110.7869242,43.47104085,,
460 PARK AVE IDAHO FALLS ID 83402,915626,,,Outside of SAI,-112.0402128,43.49309343,,
710 INDUSTRIAL AVE GREYBULL WY 82426,931115,,,Outside of SAI,-108.0672656,44.48935661,,
325 1ST AVE N GREYBULL WY 82426,926694,,,Outside of SAI,-108.0519537,44.48973563,,
18815 85TH PLACE MAPLE GROVE MN 55311,920083,,,Outside of SAI,-93.51854138,45.11036503,,
451 SHOSHONE AVE LOVELL WY 82431,912673,,,Outside of SAI,-108.3928676,44.83668766,,
284 E MAIN ST LOVELL WY 82431,926052,,,Outside of SAI,-108.3874489,44.8372134,,
21018 CALAMITY GULCH LANE HWY 14 A LEAD SD 57754,60791,,,Outside of SAI,-103.927458,44.36386673,,
4408 FETTERMAN GARRETT WY 82058,902959,,,Outside of SAI,-105.7017708,42.37682832,,
1850 PEARL ST DENVER CO 80203,926987,,,Outside of SAI,-104.979571,39.74582136,,
2201 17TH ST CODY WY 82414,910616,,,Outside of SAI,-109.0540996,44.51501202,,
153 HIDDEN VALLEY RD CODY WY 82414,905952,,,Outside of SAI,-108.9487911,44.53464812,,
350 E CERMAK RD CHICAGO IL 60616,940257,,,Outside of SAI,-87.61854953,41.85335823,,
904 PARADISE RD BOULDER WY 82923,927211,,,Outside of SAI,-109.8235044,42.67478898,,
1101 ANTELOPE DR BAROIL WY 82322,60542,,,Outside of SAI,-107.5613599,42.23839073,,
314 S WASHINGTON ST AFTON WY 83110,940254,,,Outside of SAI,-110.9338392,42.72716667,,
101 TEINI RD ROBERTS MT 59070,937447,,,Outside of SAI,-109.2149678,45.30456471,,
328 LUOMA RANCH RD RED LODGE MT 59068,914131,,,Outside of SAI,-109.4908869,45.25546894,,
3 WEST FORK DRAW RED LODGE MT 59068,903424,,,Outside of SAI,-109.3198087,45.15346995,,
19 GREENOUGH LN RED LODGE MT 59068,937196,,,Outside of SAI,-109.2930414,45.12142642,,
151 FOX RD RED LODGE MT 59068,922324,,,Outside of SAI,-109.2906967,45.19489363,,
500 W BROADWAY ST MISSOULA MT 59802,945227,,,Outside of SAI,-113.9996903,46.87526743,,
1221 NORTH RUSSELL STREET MISSOULA MT 89808,925186,,,Outside of SAI,-114.0195267,46.8833359,,
28287 BLIXIT CREEK RD BONNER MT 59823,945100,,,Outside of SAI,-113.6000741,46.87659779,,
2 N RAIL RD BANNER WY 82832,913732,,41,Outside of SAI,-106.8247269,44.6467052,Sheridan,
199 MURPHY GULCH RD BANNER WY 82832,934535,,,Outside of SAI,-106.8115771,44.63825224,,
13 BUFFALO RUN DR BANNER WY 82832,928915,,41,Outside of SAI,-106.8204442,44.65383118,Sheridan,
8070 HWY 14 DAYTON WY 82836,906732,,,Outside of SAI,-107.2856304,44.84437664,,
7979 US HWY 14 DAYTON WY 82836,921923,,,Outside of SAI,-107.2943527,44.83249365,,
6002 HWY 14 DAYTON WY 82836,916631,,,Outside of SAI,-107.4780327,44.78077841,,
431 BARKER RD RANCHESTER WY 82839,911402,,,Outside of SAI,-107.2805787,44.99747799,,
402 SMITH CREEK RD DAYTON WY 82836,931468,,,Outside of SAI,-107.3517008,44.8962353,,
1 SIBLEY LAKE FOREST SERVICE RD LOT 11 DAYTON WY 82836,942405,,,Outside of SAI,-107.4402051,44.75914313,,
9 CRYSTAL RD Dayton WY 82836,877964,,,Outside of SAI,-107.3162279,44.82874921,,
33 BOULDER REARING STATION RD BOULDER WY 82923,903053,,,Outside of SAI,-109.7031786,42.71777805,,
50 OIL FIELD RD SUMATRA MT,940674,,,Outside of SAI,-107.6507609,46.67946079,,
239 I-90 FRONTAGE RD DRUMMOND MT,940252,,,Outside of SAI,-113.1965952,46.68864008,,
1112 HWY 14 E BANNER WY 82832,928673,,41,Outside of SAI,-106.8247399,44.65044803,Sheridan,
92 W VEDAUWOO BUFORD WY 82052,64810,,,Outside of SAI,-105.4199471,41.15921899,,
4622 HWY 14 DAYTON WY 82836,61386,,,Outside of SAI,-107.5046258,44.75386314,,
1717 E INTERSTATE AVE BISMARCK ND 58503,64309,,,Outside of SAI,-100.7664572,46.83307302,,
221 E PINE ST PINEDALE WY 82941,907395,,,Outside of SAI,-109.8575848,42.86695427,,
86100 HWY 87 LEWISTOWN MT 59457,64854,,,Outside of SAI,-109.2071095,47.06948194,,
224 W MAIN ST LEWISTOWN MT 59457,902933,,,Outside of SAI,-109.4259228,47.06573827,,
1400 HEART MOUNTAIN ST CODY WY 82414,64790,,,Outside of SAI,-109.0607058,44.5217306,,
1801 US HWY 310 LOVELL WY 82431,64633,,,Outside of SAI,-108.4188504,44.83767468,,
4583 HWY 14 W DAYTON WY 82836,64259,,,Outside of SAI,-107.5060033,44.74617434,,
267 FOREST SERVICE RD 13 SHELL WY 82441,64784,,,Outside of SAI,-107.8098473,44.69517521,,
1176 BIG GOOSE RD SHERIDAN WY 82801,63744,,,Outside of SAI,-107.1385101,44.72313899,,
6 SOLDIER CREEK RD SHERIDAN WY 82801,34089,,41,Outside of SAI,-107.0215908,44.81613815,Sheridan,
650 E US HWY 14 SHERIDAN WY 82801,34051,,41,Outside of SAI,-106.8609753,44.71090645,Sheridan,
501 E US HWY 14 SHERIDAN WY 82801,34050,,41,Outside of SAI,-106.8727837,44.73161544,Sheridan,
150 PENO RD SHERIDAN WY 82801,34087,,41,Outside of SAI,-106.897884,44.78170156,Sheridan,
682 HWY 14 E SHERIDAN WY 82801,909017,,41,Outside of SAI,-106.8565835,44.70753483,Sheridan,
558 US HWY 14 E SHERIDAN WY 82801,933512,,41,Outside of SAI,-106.8704223,44.72198769,Sheridan,
902 11TH LANDER WY 82520,932753,,,Outside of SAI,-108.7462908,42.83570728,,
745 BUENA VISTA DR LANDER WY 82520,935950,,,Outside of SAI,-108.7311313,42.82479509,,
72 SQUAW CREEK CT LANDER WY 82520,912007,,,Outside of SAI,-108.81737,42.8078834,,
565 SHOSHONE AV LANDER WY 82520,918553,,,Outside of SAI,-108.7394198,42.82687467,,
53 N FORK ROAD LANDER WY 82520,933187,,,Outside of SAI,-108.7948837,42.87449876,,
260 BUENA VISTA DR LANDER WY 82520,914015,,,Outside of SAI,-108.7250189,42.82822827,,
201 N 4 LANDER WY 82520,903644,,,Outside of SAI,-108.7331717,42.83488085,,
147 CLAIR SPUR LANDER WY 82520,914200,,60,Outside of SAI,-108.9474021,43.02532188,Sheridan,
1320 BISHOP RANDALL DR LANDER WY 82520,916221,,,Outside of SAI,-108.7269445,42.8203872,,
111 RED CANYON RD LANDER WY 82520,926743,,,Outside of SAI,-108.6559456,42.70398961,,
10201 HWY 287 LANDER WY 82520,905101,,60,Outside of SAI,-108.8116434,42.95092264,Sheridan,
523 NORTH FORK RD FORT WASHAKIE WY 82514,925697,,60,Outside of SAI,-108.9633804,43.03113819,Sheridan,
505 HURSH ST RIVERTON WY 82501,915451,,60,Outside of SAI,-108.3951143,43.020279,Sheridan,
3850 AIRPORT RD RIVERTON WY 82501,914449,,60,Outside of SAI,-108.4404128,43.04300865,Sheridan,
230 W MAIN ST RIVERTON WY 82501,918541,,60,Outside of SAI,-108.3935036,43.02491476,Sheridan,
2203 W MAIN & DAVIS LN RIVERTON WY 82501,922619,,60,Outside of SAI,-108.4180143,43.02507887,Sheridan,
220 E MAIN RIVERTON WY 82501,928078,,60,Outside of SAI,-108.3881785,43.02486159,Sheridan,
2100 W SUNSET DR RIVERTON WY 82501,912464,,60,Outside of SAI,-108.4187222,43.03469039,Sheridan,
205 S BROADWAY RIVERTON WY 82501,915494,,60,Outside of SAI,-108.3860359,43.02329579,Sheridan,
1602 W MAIN RIVERTON WY 82501,904083,,60,Outside of SAI,-108.4118921,43.02580032,Sheridan,
267 TROUT CREEK RD FORT WASHAKIE WY 82514,931334,,60,Outside of SAI,-108.9258918,42.98034787,Sheridan,
ETHETE WY ,48300,,60,Outside of SAI,-108.2569706,43.09228937,Sheridan,
FT WASHAKIE WY ,48296,,60,Outside of SAI,-108.2104049,43.16741144,Sheridan,
4830 COUNTY ROAD 217 BURNS WY 82053,944707,,9,Outside of SAI,-104.3627197,41.25082989,Worland,
1500 COUNTY ROAD 161 PINE BLUFFS WY 82082,5939,,19,Outside of SAI,-104.1363382,41.21433487,Worland,
1330 SKULL CREEK RD OSAGE WY 82723,940734,,17,Outside of SAI,-104.3137718,44.1078927,Worland,
62 PLEVNA RD EKALAKA MT 59324,940901,,,Outside of SAI,-104.5574805,45.90508626,,
1328 WILDWOOD RD NEWCASTLE WY 82701,947204,,17,Outside of SAI,-104.1093771,43.69699015,Worland,
101 BUCKSKIN RIDGE NEWCASTLE WY 82701,29171,,17,Outside of SAI,-104.1929617,43.83676059,Worland,
24963 HIGHWAY 85 FOUR CORNERS WY 82715,946892,,17,Outside of SAI,-104.1337714,44.10855169,Worland,
491 PARMLEE CANYON RD FOUR CORNERS WY 82715,64357,,17,Outside of SAI,-104.0738036,43.98224167,Worland,
1262 A BEAVER CREEK RD NEWCASTLE WY 82701,946319,,17,Outside of SAI,-104.076294,43.97619661,Worland,
399 CAVE SPRINGS RD NEWCASTLE WY 82701,946519,,17,Outside of SAI,-104.2559731,43.88741931,Worland,
363 MALLO RD FOUR CORNERS WY 82715,946007,,17,Outside of SAI,-104.0911999,44.08227586,Worland,
537 WILDWOOD RD NEWCASTLE WY 82701,945774,,17,Outside of SAI,-104.1191568,43.70046359,Worland,
1502 WILDWOOD RD NEWCASTLE WY 82701,945639,,17,Outside of SAI,-104.1109284,43.70004075,Worland,
115 BERDAHL RD FOUR CORNERS WY 82715,945553,,17,Outside of SAI,-104.1319018,44.12498179,Worland,
12 BERDAHL RD FOUR CORNERS WY 82715,945552,,17,Outside of SAI,-104.1275769,44.12224472,Worland,
303 WILDWOOD RD NEWCASTLE WY 82701,945536,,17,Outside of SAI,-104.1219504,43.700939,Worland,
769 WILDWOOD RD NEWCASTLE WY 82701,945301,,17,Outside of SAI,-104.1133385,43.69872044,Worland,
127 BRIDLE BIT RD NEWCASTLE WY 82701,945168,,17,Outside of SAI,-104.2075359,43.89144555,Worland,
1070 OLD HIGHWAY 85 RD NEWCASTLE WY 82701,944996,,17,Outside of SAI,-104.1124559,43.69885584,Worland,
671 OLD HIGHWAY 85 NEWCASTLE WY 82701,944673,,17,Outside of SAI,-104.161788,43.75597452,Worland,
22503 US HIGHWAY 85 NEWCASTLE WY 82701,944672,,17,Outside of SAI,-104.2019012,43.79947897,Worland,
442 TWILIGHT DR FOUR CORNERS WY 82715,944617,,17,Outside of SAI,-104.1247824,44.10611896,Worland,
138 BRIDLE BIT RD NEWCASTLE WY 82701,29170,,17,Outside of SAI,-104.2125099,43.88977492,Worland,
957 INYAN KARA CREEK RD MOORCROFT WY 82721,62295,,16,Outside of SAI,-104.6991551,44.41257925,Worland,
1493 OLD SUNDANCE RD MOORCROFT WY 82721,946560,,16,Outside of SAI,-104.6284294,44.31736664,Worland,
69 THORN DIVIDE RD MOORCROFT WY 82721,945868,,16,Outside of SAI,-104.7889989,44.47580041,Worland,
13 SUMMIT VIEW TRL MOORCROFT WY 82721,947315,,16,Outside of SAI,-104.8107443,44.31933447,Worland,
89 SAND HILLS RD MOORCROFT WY 82721,947181,,16,Outside of SAI,-104.8068409,44.31005203,Worland,
150 LIBERTY LN MOORCROFT WY 82721,947124,,16,Outside of SAI,-104.8237241,44.30832456,Worland,
149 WARBONNET RD MOORCROFT WY 82721,946971,,16,Outside of SAI,-104.9416499,44.23379024,Worland,
12 LONESOME DOVE LN MOORCROFT WY 82721,946861,,16,Outside of SAI,-104.7967867,44.30124732,Worland,
99 STRONG LN MOORCROFT WY 82721,945462,,16,Outside of SAI,-104.7615001,44.3112894,Worland,
171 WAKEFIELD RD UPTON WY 82730,18587,,22,Outside of SAI,-104.5925911,44.34775211,Worland,
83 JUNIPER HILLS RD MOORCROFT WY 82721,946835,,16,Outside of SAI,-104.8065516,44.32442348,Worland,
1123 OLD SUNDANCE RD MOORCROFT WY 82721,946811,,16,Outside of SAI,-104.7001845,44.3238745,Worland,
15 HIDDEN CANYON RD MOORCROFT WY 82721,946789,,16,Outside of SAI,-104.8075299,44.32184406,Worland,
17 HIDDEN CANYON RD MOORCROFT WY 82721,946727,,16,Outside of SAI,-104.8067682,44.32151928,Worland,
18 LOFTY RIDGE LN MOORCROFT WY 82721,945434,,16,Outside of SAI,-104.9505916,44.28188713,Worland,
21 307 ROBERTS CT MOORCROFT WY 82721,946512,,16,Outside of SAI,-104.8726862,44.45160096,Worland,
39 LOFTY RIDGE LN MOORCROFT WY 82721,946513,,16,Outside of SAI,-104.9560113,44.28137805,Worland,
124 JUNIPER HILLS RD MOORCROFT WY 82721,946397,,16,Outside of SAI,-104.8024934,44.31659866,Worland,
2006 BUFFALO REEK RD MOORCROFT WY 82721,946362,,16,Outside of SAI,-104.8742198,44.21250145,Worland,
1946 BUFFALO CREEK RD MOORCROFT WY 82721,946363,,16,Outside of SAI,-104.8773115,44.2091785,Worland,
1948 BUFFALO CREEK RD MOORCROFT WY 82721,946364,,16,Outside of SAI,-104.8778466,44.207492,Worland,
1949 BUFFALO CREEK RD MOORCROFT WY 82721,946365,,16,Outside of SAI,-104.9033388,44.22207326,Worland,
1945 BUFFALO CREEK RD MOORCROFT WY 82721,946366,,16,Outside of SAI,-104.8939716,44.21476337,Worland,
1985 BUFFALO CREEK RD MOORCROFT WY 82721,946367,,16,Outside of SAI,-104.8908616,44.22380214,Worland,
1947 BUFFALO CREEK RD MOORCROFT WY 82721,946368,,16,Outside of SAI,-104.9012678,44.21863212,Worland,
286 ASTIN RD MOORCROFT WY 82721,946161,,16,Outside of SAI,-104.780665,44.43323408,Worland,
